Product_ID,Product_Name / Category,Product_Cost,Product_Price
1,Smartwatch - Electronics,$9.99 ,$15.99 
2,Yoga Mat - Fitness & Sports,$9.99 ,$12.99 
3,Instant Coffee - Food & Beverage,$1.99 ,$3.99 
4,Wireless Earbuds - Electronics,$9.99 ,$12.99 
5,Resistance Bands - Fitness & Sports,$7.99 ,$9.99 
6,Organic Shampoo - Beauty & Personal Care,$6.99 ,$14.99 
7,Portable Blender - Kitchen Appliances,$11.99 ,$15.99 
8,Graphic T shirt - Clothing & Apparel,$3.99 ,$6.99 
9,Smartphone Case - Electronics,$9.99 ,$10.99 
10,Protein Powder - Fitness & Sports,$10.99 ,$14.99 
11,Aromatherapy Diffuser - Home & Decor,$10.99 ,$20.99 
12,Handcrafted Jewelry - Fashion Accessories,$8.99 ,$11.99 
13,Travel Backpack - Luggage & Travel,$14.99 ,$20.99 
14,LED Desk Lamp - Home & Decor,$5.99 ,$10.99 
15,Bamboo Toothbrush - Health & Wellness,$3.99 ,$5.99 
16,Laptop Stand - Office Supplies,$2.99 ,$9.99 
17,Air Fryer - Kitchen Appliances,$13.99 ,$19.99 
18,Plant Based Protein Bars - Food & Beverage,$34.99 ,$39.99 
19,Yoga Blocks - Fitness & Sports,$13.99 ,$15.99 
20,Facial Cleansing Brush - Beauty & Personal Care,$8.99 ,$24.99 
21,Noise Canceling Headphones - Electronics,$6.99 ,$9.99 
22,Running Shoes - Footwear,$13.99 ,$19.99 
23,Reusable Water Bottle - Eco friendly Products,$4.99 ,$9.99 
24,Air Purifier - Home & Decor,$14.99 ,$19.99 
25,Essential Oil Set - Health & Wellness,$1.99 ,$2.99 
26,Wireless Charging Pad - Electronics,$20.99 ,$24.99 
27,Resistance Loop Bands - Fitness & Sports,$3.99 ,$4.99 
28,Natural Lip Balm - Beauty & Personal Care,$3.99 ,$10.99 
29,Insulated Lunch Box - Kitchenware,$8.99 ,$19.99 
30,UV Phone Sanitizer - Health & Wellness,$17.99 ,$19.99 
31,Smart Home Security Camera - Home Improvement,$7.99 ,$8.99 
32,Reflective Running Gear - Fitness & Sports,$11.99 ,$14.99 
33,Handmade Soap Bars - Beauty & Personal Care,$10.99 ,$12.99 
34,Solar Powered Outdoor Lights - Outdoor & Garden,$20.99 ,$25.99 
35,Organic Cotton Towels - Home & Bath,$3.99 ,$7.99 
