Store_ID,Store_City,Store_Location,Store_Open_Date
30,Guadalajara,Airport,10-20-2011
31,Cuidad de Mexico,Airport,5-4-2012
33,Monterrey,Airport,3-17-2013
3,Guadalajara,Commercial,12-27-1999
6,Mexicali,Commercial,12-13-2003
19,Puebla,Commercial,12-16-2008
22,Guanajuato,Commercial,3-29-2010
23,Chihuahua,Commercial,6-12-2010
26,Campeche,Commercial,9-15-2010
29,Xalapa,Commercial,6-21-2011
40,Toluca,Commercial,5-27-2014
42,Hermosillo,Commercial,6-27-2014
45,Cuidad de Mexico,Commercial,6-21-2015
47,Monterrey,Commercial,11-21-2015
48,Saltillo,Commercial,3-23-2016
4,Saltillo,Downtown,1-1-2000
5,La Paz,Downtown,5-31-2001
7,Monterrey,Downtown,12-25-2003
8,Pachuca,Downtown,10-14-2004
9,Cuidad de Mexico,Downtown,10-15-2004
10,Campeche,Downtown,1-14-2005
11,Cuernavaca,Downtown,4-19-2005
12,Chetumal,Downtown,5-5-2006
13,Mexicali,Downtown,8-30-2006
14,Guanajuato,Downtown,1-31-2007
15,Tuxtla Gutierrez,Downtown,3-5-2007
16,San Luis Potosi,Downtown,5-19-2007
17,Toluca,Downtown,12-9-2007
18,Merida,Downtown,8-22-2008
20,Zacatecas,Downtown,5-29-2009
21,Santiago,Downtown,11-23-2009
24,Aguascalientes,Downtown,7-31-2010
25,Ciudad Victoria,Downtown,9-8-2010
27,Oaxaca,Downtown,10-2-2010
28,Puebla,Downtown,4-1-2011
34,Villahermosa,Downtown,6-7-2013
35,Chilpancingo,Downtown,6-11-2013
36,Morelia,Downtown,7-1-2013
38,Chihuahua,Downtown,3-18-2014
39,Xalapa,Downtown,4-21-2014
41,Hermosillo,Downtown,6-1-2014
43,Durango,Downtown,6-30-2014
46,Guadalajara,Downtown,10-31-2015
49,Culiacan,Downtown,5-10-2016
1,Guadalajara,Residential,9-18-1992
2,Monterrey,Residential,4-27-1995
32,Hermosillo,Residential,8-31-2012
37,Cuidad de Mexico,Residential,11-28-2013
44,Puebla,Residential,12-27-2014
50,Guanajuato,Residential,5-18-2016
